name,handedness,height,weight,avg,HR,name_clean,last_name
Tommy Dean,R,72,165,0.18,4,Tommy Dean,Dean
Bryan Oelkers,L,75,192,0,0,Bryan Oelkers,Oelkers
Kevin Bearse,L,74,195,0,0,Kevin Bearse,Bearse
Marty Martinez,B,72,170,0.243,0,Marty Martinez,Martinez
Bruce Boisclair,L,74,185,0.263,10,Bruce Boisclair,Boisclair
Ken Singleton,B,76,210,0.282,246,Ken Singleton,Singleton
Frank White,R,71,165,0.255,160,Frank White,White
Jim Fairey,L,70,190,0.235,7,Jim Fairey,Fairey
Jose Roman,R,72,175,0,0,Jose Roman,Roman
Tom Brookens,R,70,165,0.246,71,Tom Brookens,Brookens
Gary Thomasson,L,73,180,0.249,61,Gary Thomasson,Thomasson
Mike Trujillo,R,73,180,0,0,Mike Trujillo,Trujillo
Albert Williams,R,76,190,0,0,Albert Williams,Williams
Oswaldo Peraza,R,76,172,0,0,Oswaldo Peraza,Peraza
Otto Velez,R,72,170,0.251,78,Otto Velez,Velez
Tony Scott,B,72,164,0.249,17,Tony Scott,Scott
Ray Oyler,R,71,165,0.175,15,Ray Oyler,Oyler
Barry Cort,R,77,210,0,0,Barry Cort,Cort
Floyd Robinson,L,69,175,0.283,67,Floyd Robinson,Robinson
Steve Jeltz,B,71,180,0.21,5,Steve Jeltz,Jeltz
Lou Brock,L,71,170,0.293,149,Lou Brock,Brock
Bill Wilkinson,R,70,160,0,0,Bill Wilkinson,Wilkinson
Joe Lovitto,B,72,185,0.216,4,Joe Lovitto,Lovitto
Mike Loynd,R,76,210,0,0,Mike Loynd,Loynd
Wayne Comer,R,70,175,0.229,16,Wayne Comer,Comer
Dave Collins,B,71,175,0.272,32,Dave Collins,Collins
Ed Spiezio,R,71,180,0.238,39,Ed Spiezio,Spiezio
Rico Petrocelli,R,72,175,0.251,210,Rico Petrocelli,Petrocelli
Johnny Lewis,L,73,189,0.227,22,Johnny Lewis,Lewis
Dick Simpson,R,76,176,0.207,15,Dick Simpson,Simpson
Ken Boswell,L,72,170,0.248,31,Ken Boswell,Boswell
Ken McMullen,R,75,190,0.248,156,Ken McMullen,McMullen
Randy Scarbery,B,73,185,0,0,Randy Scarbery,Scarbery
Steve Swisher,R,74,205,0.216,20,Steve Swisher,Swisher
Ben Callahan,R,79,230,0,0,Ben Callahan,Callahan
Dick Howser,R,68,155,0.248,16,Dick Howser,Howser
Manny Castillo,B,69,160,0.242,3,Manny Castillo,Castillo
Mike Ramsey,B,73,170,0.24,2,Mike Ramsey,Ramsey
Willie Crawford,L,73,197,0.268,86,Willie Crawford,Crawford
Bobby Cuellar,R,71,188,0,0,Bobby Cuellar,Cuellar
Willie Norwood,R,72,185,0.242,18,Willie Norwood,Norwood
Mike Jones,L,78,215,0,0,Mike Jones,Jones
Jeff Stone,L,72,175,0.277,11,Jeff Stone,Stone
Ramon Manon,R,72,150,0,0,Ramon Manon,Manon
Joe Lahoud,L,73,198,0.223,65,Joe Lahoud,Lahoud
Tim Flannery,L,71,175,0.255,9,Tim Flannery,Flannery
Dave McKay,B,73,195,0.229,21,Dave McKay,McKay
John Trautwein,R,75,205,0,0,John Trautwein,Trautwein
Andy Replogle,R,77,205,0,0,Andy Replogle,Replogle
Zach Crouch,L,75,180,0,0,Zach Crouch,Crouch
Benny Ayala,R,73,185,0.251,38,Benny Ayala,Ayala
Ron Romanick,R,76,195,0,0,Ron Romanick,Romanick
Greg Gross,L,70,160,0.287,7,Greg Gross,Gross
Bruce Tanner,L,75,220,0,0,Bruce Tanner,Tanner
Sal Butera,R,72,190,0.227,8,Sal Butera,Butera
Jack Brohamer,L,70,165,0.245,30,Jack Brohamer,Brohamer
Von Joshua,L,70,170,0.273,30,Von Joshua,Joshua
Eddie Milner,L,71,173,0.253,42,Eddie Milner,Milner
Johnny Jeter,R,73,180,0.244,18,Johnny Jeter,Jeter
Angel Salazar,R,72,180,0.212,2,Angel Salazar,Salazar
Tony Oliva,L,73,175,0.304,220,Tony Oliva,Oliva
Cito Gaston,R,75,190,0.256,91,Cito Gaston,Gaston
Cookie Rojas,R,70,160,0.263,54,Cookie Rojas,Rojas
Rich Morales,R,71,170,0.195,6,Rich Morales,Morales
Dave Ford,R,76,190,0,0,Dave Ford,Ford
Dan Ford,R,73,185,0.27,121,Dan Ford,Ford
Barry Raziano,B,70,175,0,0,Barry Raziano,Raziano
Darryl Motley,R,69,196,0.243,44,Darryl Motley,Motley
Ozzie Virgil,R,73,180,0.243,98,Ozzie Virgil,Virgil
Johnny Oates,L,71,188,0.25,14,Johnny Oates,Oates
Pat Underwood,L,72,175,0,0,Pat Underwood,Underwood
Mike Phillips,L,72,170,0.24,11,Mike Phillips,Phillips
Ron Santo,R,72,190,0.277,342,Ron Santo,Santo
Jay Johnstone,L,73,175,0.267,102,Jay Johnstone,Johnstone
Jim Ray Hart,R,71,185,0.278,170,Jim Ray Hart,Hart
Marc Hill,R,75,205,0.223,34,Marc Hill,Hill
Joel McKeon,L,72,185,0,0,Joel McKeon,McKeon
Danny Fife,R,75,175,0,0,Danny Fife,Fife
Chico Salmon,R,70,160,0.249,31,Chico Salmon,Salmon
Joe Niekro,R,73,185,0.156,1,Joe Niekro,Niekro
Andy Etchebarren,R,73,190,0.235,49,Andy Etchebarren,Etchebarren
Ken Berry,R,72,175,0.255,58,Ken Berry,Berry
Dave Concepcion,R,74,155,0.267,101,Dave Concepcion,Concepcion
Junior Moore,R,71,185,0.264,7,Junior Moore,Moore
Mike Richardt,R,72,170,0.226,4,Mike Richardt,Richardt
Chris Brown,R,72,185,0.269,38,Chris Brown,Brown
Al Bumbry,L,68,170,0.281,54,Al Bumbry,Bumbry
Al Downing,R,71,175,0.127,2,Al Downing,Downing
Bob Didier,B,72,190,0.229,0,Bob Didier,Didier
Jake Gibbs,L,72,180,0.233,25,Jake Gibbs,Gibbs
Garry Hancock,L,72,175,0.247,12,Garry Hancock,Hancock
Ed Kranepool,L,75,205,0.261,118,Ed Kranepool,Kranepool
Rick Rhoden,R,75,195,0.238,9,Rick Rhoden,Rhoden
Denny McLain,R,73,185,0.133,1,Denny McLain,McLain
Chuck Hiller,L,71,170,0.243,20,Chuck Hiller,Hiller
Jorge Orta,L,70,170,0.278,130,Jorge Orta,Orta
Dave Cash,R,71,170,0.283,21,Dave Cash,Cash
Bucky Dent,R,69,170,0.247,40,Bucky Dent,Dent
Andy Beene,R,75,205,0,0,Andy Beene,Beene
Bruce Robbins,L,73,190,0,0,Bruce Robbins,Robbins
Tony Gonzalez,L,69,170,0.286,103,Tony Gonzalez,Gonzalez
Leon Hooten,R,71,180,0,0,Leon Hooten,Hooten
Larry Haney,R,74,195,0.215,12,Larry Haney,Haney
Billy Conigliaro,R,72,180,0.256,40,Billy Conigliaro,Conigliaro
Gary Roenicke,R,75,205,0.247,121,Gary Roenicke,Roenicke
Don Lock,R,74,195,0.238,122,Don Lock,Lock
Billy Cowan,R,72,170,0.236,40,Billy Cowan,Cowan
Billy Smith,B,74,185,0.23,17,Billy Smith,Smith
Allan Ramirez,R,70,180,0,0,Allan Ramirez,Ramirez
Tony Perez,R,74,175,0.279,379,Tony Perez,Perez
Chuck Schilling,R,70,160,0.239,23,Chuck Schilling,Schilling
Hal McRae,R,71,180,0.29,191,Hal McRae,McRae
Dave Roberts,R,75,215,0.239,49,Dave Roberts1,Roberts
Brian Allard,R,73,175,0,0,Brian Allard,Allard
