name,handedness,height,weight,avg,HR,name_clean,last_name
Carl Yastrzemski,L,71,175,0.285,452,Carl Yastrzemski,Yastrzemski
Bob Babcock,R,77,210,0,0,Bob Babcock,Babcock
Craig Eaton,R,71,175,0,0,Craig Eaton,Eaton
Derrel Thomas,B,72,160,0.249,43,Derrel Thomas,Thomas
Art Howe,R,74,190,0.26,43,Art Howe,Howe
Ike Brown,R,72,190,0.256,20,Ike Brown,Brown
Howie Goss,R,76,204,0.216,11,Howie Goss,Goss
Glenn Borgmann,R,76,210,0.229,16,Glenn Borgmann,Borgmann
Lamar Johnson,R,74,215,0.287,64,Lamar Johnson,Johnson
Julio Gonzalez,R,71,162,0.235,4,Julio Gonzalez,Gonzalez
Bobby Klaus,R,70,170,0.208,6,Bobby Klaus,Klaus
Manny Sanguillen,R,72,193,0.296,65,Manny Sanguillen,Sanguillen
Gates Brown,L,71,220,0.257,84,Gates Brown,Brown
Johnny Ray,B,71,170,0.29,53,Johnny Ray,Ray
Jesus Alou,R,74,190,0.28,32,Jesus Alou,Alou
Ken Landreaux,L,70,165,0.268,91,Ken Landreaux,Landreaux
Enos Cabell,R,76,170,0.277,60,Enos Cabell,Cabell
Roy Branch,R,72,175,0,0,Roy Branch,Branch
Billy North,B,71,185,0.261,20,Billy North,North
Juan Beniquez,R,71,150,0.274,79,Juan Beniquez,Beniquez
Frank Fernandez,R,72,185,0.199,39,Frank Fernandez,Fernandez
Bombo Rivera,R,70,187,0.265,10,Bombo Rivera,Rivera
Steve Brye,R,72,190,0.258,30,Steve Brye,Brye
Ron Jackson,R,72,200,0.259,56,Ron Jackson,Jackson
Roger Metzger,B,72,165,0.231,5,Roger Metzger,Metzger
Rufino Linares,R,72,170,0.27,11,Rufino Linares,Linares
Ray Webster,L,72,185,0.244,17,Ray Webster,Webster
Bob Kearney,R,72,190,0.233,27,Bob Kearney,Kearney
Fergie Jenkins,R,77,205,0.165,13,Fergie Jenkins,Jenkins
Dick Dietz,R,73,195,0.261,66,Dick Dietz,Dietz
Ted Cox,R,75,195,0.245,10,Ted Cox,Cox
Bobby Mitchell,L,70,170,0.243,3,Bobby Mitchell1,Mitchell
Bobby Mitchell,R,75,185,0.235,21,Bobby Mitchell2,Mitchell
Barry Evans,R,73,180,0.251,2,Barry Evans,Evans
Mickey Brantley,R,70,180,0.259,32,Mickey Brantley,Brantley
Al Gallagher,R,72,180,0.263,11,Al Gallagher,Gallagher
Rob Woodward,R,75,185,0,0,Rob Woodward,Woodward
Hector Cruz,R,71,170,0.225,39,Hector Cruz,Cruz
Fred Norman,B,68,155,0.125,0,Fred Norman,Norman
Woody Woodward,R,74,180,0.236,1,Woody Woodward,Woodward
Ted Martinez,R,72,165,0.24,7,Ted Martinez,Martinez
Jim Anderson,R,72,170,0.218,13,Jim Anderson,Anderson
Lenn Sakata,R,69,160,0.23,25,Lenn Sakata,Sakata
Dave Duncan,R,74,190,0.214,109,Dave Duncan,Duncan
Randy Jones,R,72,178,0.132,0,Randy Jones,Jones
Dick Billings,R,73,195,0.227,16,Dick Billings,Billings
Bob Veselic,R,72,175,0,0,Bob Veselic,Veselic
Bruce Bochte,L,75,195,0.282,100,Bruce Bochte,Bochte
Bernie Carbo,L,71,173,0.264,96,Bernie Carbo,Carbo
Vic Davalillo,L,67,150,0.279,36,Vic Davalillo,Davalillo
Burt Hooton,R,73,210,0.123,4,Burt Hooton,Hooton
Chuck Hockenbery,B,73,195,0,0,Chuck Hockenbery,Hockenbery
Bob Ferris,R,78,225,0,0,Bob Ferris,Ferris
Fernando Gonzalez,R,70,165,0.235,17,Fernando Gonzalez,Gonzalez
Jim Sundberg,R,72,190,0.248,95,Jim Sundberg,Sundberg
Andy Kosco,R,75,205,0.236,73,Andy Kosco,Kosco
Steve Huntz,B,73,204,0.206,16,Steve Huntz,Huntz
Gary Wheelock,R,75,205,0,0,Gary Wheelock,Wheelock
Lenny Faedo,R,72,170,0.251,5,Lenny Faedo,Faedo
John Lowenstein,L,72,175,0.253,116,John Lowenstein,Lowenstein
Don Kessinger,B,73,170,0.252,14,Don Kessinger,Kessinger
Joe Hague,L,72,195,0.239,40,Joe Hague,Hague
Bake McBride,L,74,190,0.299,63,Bake McBride,McBride
Dick Davis,R,75,190,0.265,27,Dick Davis,Davis
Richie Scheinblum,B,73,180,0.263,13,Richie Scheinblum,Scheinblum
Ed Herrmann,L,73,195,0.24,80,Ed Herrmann,Herrmann
Mike Rochford,L,76,205,0,0,Mike Rochford,Rochford
Jeff Schneider,B,75,195,0,0,Jeff Schneider,Schneider
Bob Molinaro,L,72,190,0.264,14,Bob Molinaro,Molinaro
Mike Hegan,L,73,188,0.242,53,Mike Hegan,Hegan
Mike Diaz,R,74,195,0.247,31,Mike Diaz,Diaz
Tim Foli,R,72,179,0.251,25,Tim Foli,Foli
Alan Knicely,R,72,190,0.213,12,Alan Knicely,Knicely
Tim Laudner,R,75,212,0.225,77,Tim Laudner,Laudner
Jose Morales,R,71,187,0.287,26,Jose Morales,Morales
Luis Encarnacion,R,70,178,0,0,Luis Encarnacion,Encarnacion
Rick Kreuger,R,74,185,0,0,Rick Kreuger,Kreuger
Juan Marichal,R,72,185,0.165,4,Juan Marichal,Marichal
Vida Blue,B,72,189,0.104,4,Vida Blue,Blue
Angel Moreno,L,69,165,0,0,Angel Moreno,Moreno
Roger Weaver,R,75,190,0,0,Roger Weaver,Weaver
Stan Papi,R,72,170,0.218,7,Stan Papi,Papi
Rob Wilfong,L,73,180,0.248,39,Rob Wilfong,Wilfong
Chris Knapp,R,77,195,0,0,Chris Knapp,Knapp
Steve Henderson,R,74,190,0.28,68,Steve Henderson,Henderson
Rob Picciolo,R,74,185,0.234,17,Rob Picciolo,Picciolo
Don Welchel,R,76,205,0,0,Don Welchel,Welchel
Randy Wiles,L,73,185,0,0,Randy Wiles,Wiles
Roberto Pena,R,68,170,0.245,13,Roberto Pena,Pena
Bob Dernier,R,72,160,0.255,23,Bob Dernier,Dernier
Bill Melton,R,74,200,0.253,160,Bill Melton,Melton
Albert Hall,B,71,155,0.251,5,Albert Hall,Hall
Barbaro Garbey,R,70,170,0.267,11,Barbaro Garbey,Garbey
John Milner,L,72,185,0.249,131,John Milner,Milner
Rich Reese,L,75,185,0.253,52,Rich Reese,Reese
Chris Bando,B,72,195,0.227,27,Chris Bando,Bando
Bill Buckner,L,72,185,0.289,174,Bill Buckner,Buckner
Jack Hiatt,R,74,190,0.251,22,Jack Hiatt,Hiatt
Nelson Mathews,R,76,195,0.223,22,Nelson Mathews,Mathews
Larry Lintz,B,69,150,0.227,0,Larry Lintz,Lintz
Ron Theobald,R,68,165,0.248,2,Ron Theobald,Theobald
Dewey Robinson,R,72,180,0,0,Dewey Robinson,Robinson
Rafael Santana,R,73,165,0.246,13,Rafael Santana,Santana
Jerry Hairston,B,70,170,0.258,30,Jerry Hairston,Hairston
Tony Arnold,R,71,170,0,0,Tony Arnold,Arnold
Jeff Schattinger,L,77,200,0,0,Jeff Schattinger,Schattinger
Ike Brookens,R,77,170,0,0,Ike Brookens,Brookens
Tommie Aaron,R,75,190,0.229,13,Tommie Aaron,Aaron
Steve Dillard,R,73,180,0.243,13,Steve Dillard,Dillard
Win Remmerswaal,R,74,160,0,0,Win Remmerswaal,Remmerswaal
Jeff Peterek,R,74,195,0,0,Jeff Peterek,Peterek
George Scott,R,74,200,0.268,271,George Scott,Scott
Jeff Shaver,R,75,195,0,0,Jeff Shaver,Shaver
Ken Walters,R,73,180,0.231,11,Ken Walters,Walters
Gorman Thomas,R,74,210,0.225,268,Gorman Thomas,Thomas
Paul Dade,R,73,185,0.27,10,Paul Dade,Dade
Darrell Porter,L,72,193,0.247,188,Darrell Porter,Porter
Tim Johnson,L,73,170,0.223,0,Tim Johnson,Johnson
Fred Stanley,R,70,165,0.216,10,Fred Stanley,Stanley
Larry Bowa,B,70,155,0.26,15,Larry Bowa,Bowa
Tim Corcoran,L,71,175,0.27,12,Tim Corcoran,Corcoran
Jim Spencer,L,74,195,0.25,146,Jim Spencer,Spencer
Pete LaCock,L,74,200,0.257,27,Pete LaCock,LaCock
Carl Morton,R,72,200,0.156,7,Carl Morton,Morton
Gary Gray,R,72,187,0.24,24,Gary Gray,Gray
Matty Alou,L,69,160,0.307,31,Matty Alou,Alou
Pete Filson,B,74,195,0,0,Pete Filson,Filson
Jim Dwyer,L,70,165,0.26,77,Jim Dwyer,Dwyer
Dalton Jones,L,73,180,0.235,41,Dalton Jones,Jones
Rennie Stennett,R,71,160,0.274,41,Rennie Stennett,Stennett
Jim Gideon,R,75,190,0,0,Jim Gideon,Gideon
Jerry May,R,74,190,0.234,15,Jerry May,May
Rich McKinney,R,71,185,0.225,20,Rich McKinney,McKinney
Clint Hurdle,L,75,195,0.259,32,Clint Hurdle,Hurdle
Mike Andrews,R,75,195,0.258,66,Mike Andrews,Andrews
Bobby Clark,R,72,190,0.239,19,Bobby Clark,Clark
Jeff Twitty,L,74,185,0,0,Jeff Twitty,Twitty
Cliff Johnson,R,76,215,0.258,196,Cliff Johnson,Johnson
Steve Cummings,B,74,200,0,0,Steve Cummings,Cummings
Donn Clendenon,R,76,209,0.274,159,Donn Clendenon,Clendenon
Charlie James,R,73,195,0.255,29,Charlie James,James
Bob Horner,R,73,195,0.277,218,Bob Horner,Horner
Tom Veryzer,R,73,175,0.241,14,Tom Veryzer,Veryzer
Jose Cecena,R,71,180,0,0,Jose Cecena,Cecena
George Smith,R,70,170,0.205,9,George Smith,Smith
Jim Essian,R,74,195,0.244,33,Jim Essian,Essian
Onix Concepcion,R,66,160,0.239,3,Onix Concepcion,Concepcion
Boots Day,L,69,160,0.256,8,Boots Day,Day
Brian Giles,R,73,165,0.228,10,Brian Giles,Giles
Garry Maddox,R,75,175,0.285,117,Garry Maddox,Maddox
Alex Trevino,R,70,165,0.249,23,Alex Trevino,Trevino
Jim Price,R,72,192,0.214,18,Jim Price,Price
Felix Millan,R,71,172,0.279,22,Felix Millan,Millan
Steve Garvey,R,70,192,0.294,272,Steve Garvey,Garvey
Don Mincher,L,75,205,0.249,200,Don Mincher,Mincher
Greg Erardi,R,73,190,0,0,Greg Erardi,Erardi
Jim Farr,R,73,195,0,0,Jim Farr,Farr
Tony Cloninger,R,72,210,0.192,11,Tony Cloninger,Cloninger
Jim Gosger,L,71,185,0.226,30,Jim Gosger,Gosger
Chuck Harrison,R,70,185,0.238,17,Chuck Harrison,Harrison
Mike Ivie,R,75,205,0.269,81,Mike Ivie,Ivie
Frank Dimichele,R,75,205,0,0,Frank Dimichele,Dimichele
Bob Veale,B,78,212,0.114,0,Bob Veale,Veale
Marvell Wynne,L,71,175,0.247,40,Marvell Wynne,Wynne
Dusty Baker,R,74,183,0.278,242,Dusty Baker,Baker
Tucker Ashford,R,73,195,0.218,6,Tucker Ashford,Ashford
Ned Yost,R,73,190,0.212,16,Ned Yost,Yost
Bob Stinson,B,71,180,0.25,33,Bob Stinson,Stinson
Mike Warren,R,73,175,0,0,Mike Warren,Warren
Gaylord Perry,R,76,205,0.131,6,Gaylord Perry,Perry
Dave Marshall,L,73,182,0.246,16,Dave Marshall,Marshall
Mickey Hatcher,R,74,200,0.28,38,Mickey Hatcher,Hatcher
Roger Repoz,L,75,190,0.224,82,Roger Repoz,Repoz
Bill Fulton,R,75,195,0,0,Bill Fulton,Fulton
John Orsino,R,75,215,0.249,40,John Orsino,Orsino
Larry Anderson,R,75,190,0,0,Larry Anderson,Anderson
Johnny Briggs,L,73,190,0.253,139,Johnny Briggs,Briggs
Craig Mitchell,R,75,180,0,0,Craig Mitchell,Mitchell
Dave Hostetler,R,76,215,0.229,37,Dave Hostetler,Hostetler
Bob Jones,L,74,195,0.221,20,Bob Jones,Jones
Keith Hernandez,L,72,180,0.296,162,Keith Hernandez,Hernandez
Alfredo Martinez,R,75,185,0,0,Alfredo Martinez,Martinez
Dean Chance,R,75,200,0.066,0,Dean Chance,Chance
Willie Upshaw,L,72,185,0.262,123,Willie Upshaw,Upshaw
Dick Green,R,70,180,0.24,80,Dick Green,Green
Dane Iorg,L,72,180,0.276,14,Dane Iorg,Iorg
Richie Hebner,L,73,195,0.276,203,Richie Hebner,Hebner
Fran Healy,R,77,220,0.25,20,Fran Healy,Healy
Doc Edwards,R,74,215,0.238,15,Doc Edwards,Edwards
Sandy Alomar,B,69,140,0.245,13,Sandy Alomar,Alomar
Joe Strain,R,70,169,0.25,1,Joe Strain,Strain
Gene Richards,L,72,175,0.29,26,Gene Richards,Richards
Buddy Bell,R,73,180,0.279,201,Buddy Bell,Bell
Al Woods,L,75,190,0.271,35,Al Woods,Woods
Rudy Law,L,73,165,0.271,18,Rudy Law,Law
Joel Davis,L,77,205,0,0,Joel Davis,Davis
Jody Davis,R,76,192,0.245,127,Jody Davis,Davis
Mike Edwards,R,70,154,0.25,2,Mike Edwards,Edwards
Bill Mooneyham,R,72,175,0,0,Bill Mooneyham,Mooneyham
John Hobbs,R,75,190,0,0,John Hobbs,Hobbs
Deron Johnson,R,74,200,0.244,245,Deron Johnson,Johnson
John Denny,R,75,185,0.17,0,John Denny,Denny
Don Wert,R,70,162,0.242,77,Don Wert,Wert
Mike Fiore,L,72,175,0.227,13,Mike Fiore,Fiore
Miguel Dilone,B,72,160,0.265,6,Miguel Dilone,Dilone
Greg Luzinski,R,73,220,0.276,307,Greg Luzinski,Luzinski
Bobby Tolan,L,71,170,0.265,86,Bobby Tolan,Tolan
Karl Best,R,76,190,0,0,Karl Best,Best
Steve Barr,L,76,200,0,0,Steve Barr,Barr
Ron Woods,R,70,168,0.233,26,Ron Woods,Woods
Tony Horton,R,75,210,0.268,76,Tony Horton,Horton
Randy Hundley,R,71,170,0.236,82,Randy Hundley,Hundley
Jose Tartabull,L,71,165,0.261,2,Jose Tartabull,Tartabull
Ben Oglivie,L,74,160,0.273,235,Ben Oglivie,Oglivie
Luis Sanchez,R,74,170,0,0,Luis Sanchez,Sanchez
Bob Johnson,R,70,175,0.272,44,Bob Johnson,Johnson
Don Buford,B,67,160,0.264,93,Don Buford,Buford
Duane Kuiper,L,72,175,0.271,1,Duane Kuiper,Kuiper
Brant Alyea,R,75,215,0.247,38,Brant Alyea,Alyea
Jerry Narron,L,75,205,0.211,21,Jerry Narron,Narron
Lou Johnson,R,71,170,0.258,48,Lou Johnson,Johnson
Ken Retzer,L,72,185,0.264,14,Ken Retzer,Retzer
Mike Brown,R,74,195,0.265,23,Mike Brown1,Brown
Mike Brown,R,74,195,0,0,Mike Brown2,Brown
Greg Walker,L,75,205,0.26,113,Greg Walker,Walker
Terry Harper,R,76,195,0.253,36,Terry Harper,Harper
Jerry Royster,R,72,165,0.249,40,Jerry Royster,Royster
Steve Davis,L,73,195,0,0,Steve Davis,Davis
Jeff Rineer,L,76,205,0,0,Jeff Rineer,Rineer
Barry Bonnell,R,75,190,0.272,56,Barry Bonnell,Bonnell
Tom Seaver,R,73,195,0.154,12,Tom Seaver,Seaver
Jerry Martin,R,73,195,0.251,85,Jerry Martin,Martin
Bill Stein,R,70,170,0.267,44,Bill Stein,Stein
Joel Youngblood,R,72,180,0.265,80,Joel Youngblood,Youngblood
Reggie Jackson,L,72,195,0.262,563,Reggie Jackson,Jackson
Sonny Jackson,L,69,150,0.251,7,Sonny Jackson,Jackson
Mark Mercer,L,77,220,0,0,Mark Mercer,Mercer
Rodney Scott,B,72,160,0.236,3,Rodney Scott,Scott
Rich Coggins,L,68,170,0.265,12,Rich Coggins,Coggins
Phil Gagliano,R,73,180,0.238,14,Phil Gagliano,Gagliano
Jerry McNertney,R,72,180,0.237,27,Jerry McNertney,McNertney
Mitchell Page,L,74,205,0.266,72,Mitchell Page,Page
Kiko Garcia,R,71,180,0.239,12,Kiko Garcia,Garcia
Larry Milbourne,B,72,161,0.254,11,Larry Milbourne,Milbourne
Bill Sudakis,B,73,190,0.234,59,Bill Sudakis,Sudakis
John Caneira,R,75,180,0,0,John Caneira,Caneira
Domingo Ramos,R,70,154,0.24,8,Domingo Ramos,Ramos
Ron Oester,B,74,185,0.265,42,Ron Oester,Oester
Glenn Adams,L,73,180,0.28,34,Glenn Adams,Adams
Clint Zavaras,R,73,175,0,0,Clint Zavaras,Zavaras
Joe Morgan,L,67,160,0.271,268,Joe Morgan,Morgan
R.J. Reynolds,B,72,190,0.267,35,R.J. Reynolds,Reynolds
Mike Parrott,R,76,210,0,0,Mike Parrott,Parrott
Lee Thomas,L,74,195,0.255,106,Lee Thomas,Thomas
Ray Fosse,R,74,215,0.256,61,Ray Fosse,Fosse
Paul Popovich,B,72,175,0.233,14,Paul Popovich,Popovich
John Stephenson,L,71,180,0.216,12,John Stephenson,Stephenson
Doug Clemens,L,72,180,0.229,12,Doug Clemens,Clemens
Luis Aponte,R,72,185,0,0,Luis Aponte,Aponte
Orlando Mercado,R,72,180,0.199,7,Orlando Mercado,Mercado
Charley Smith,R,73,170,0.239,69,Charley Smith,Smith
Paul Boris,R,74,200,0,0,Paul Boris,Boris
Buddy Biancalana,B,71,160,0.205,6,Buddy Biancalana,Biancalana
De Wayne Buice,R,72,170,0,0,De Wayne Buice,Buice
Bob Uecker,R,73,190,0.2,14,Bob Uecker,Uecker
Felix Torres,R,71,165,0.254,27,Felix Torres,Torres
Steve Braun,L,70,180,0.271,52,Steve Braun,Braun
Ray Knight,R,73,185,0.271,84,Ray Knight,Knight
Ty Cline,L,72,170,0.238,6,Ty Cline,Cline
Thad Bosley,L,75,175,0.272,20,Thad Bosley,Bosley
Bobby Grich,R,74,180,0.266,224,Bobby Grich,Grich
Jimmie Hall,L,72,175,0.254,121,Jimmie Hall,Hall
John Boccabella,R,73,195,0.219,26,John Boccabella,Boccabella
Brock Davis,L,70,160,0.26,1,Brock Davis,Davis
Mark Esser,R,73,190,0,0,Mark Esser,Esser
Curt Blefary,L,74,195,0.237,112,Curt Blefary,Blefary
Daryl Smith,R,76,185,0,0,Daryl Smith,Smith
Dave Smith,R,73,190,0,0,Dave Smith,Smith
Mack Jones,L,73,180,0.252,133,Mack Jones,Jones
Buddy Bradford,R,71,170,0.226,52,Buddy Bradford,Bradford
Hosken Powell,L,73,175,0.259,17,Hosken Powell,Powell
Dave Stapleton,L,73,185,0,0,Dave Stapleton1,Stapleton
Dave Stapleton,R,73,178,0.271,41,Dave Stapleton2,Stapleton
Gary Ward,R,74,195,0.276,130,Gary Ward,Ward
Jim Lonborg,R,77,200,0.136,3,Jim Lonborg,Lonborg
Joe Lis,R,72,175,0.233,32,Joe Lis,Lis
Dan Meyer,L,71,180,0.253,86,Dan Meyer,Meyer
Jim Holt,L,72,180,0.265,19,Jim Holt,Holt
Tom Klawitter,R,74,190,0,0,Tom Klawitter,Klawitter
Larry Herndon,R,75,190,0.274,107,Larry Herndon,Herndon
Gary Christenson,L,77,200,0,0,Gary Christenson,Christenson
Jim Wright,R,77,205,0,0,Jim Wright1,Wright
Jim Wright,R,73,165,0,0,Jim Wright2,Wright
Wallace Johnson,B,72,173,0.255,5,Wallace Johnson,Johnson
Mike Kinnunen,L,73,185,0,0,Mike Kinnunen,Kinnunen
Eddie Leon,R,72,170,0.236,24,Eddie Leon,Leon
Dave Rajsich,L,77,175,0,0,Dave Rajsich,Rajsich
Jim Wohlford,R,71,175,0.26,21,Jim Wohlford,Wohlford
J.R. Richard,R,80,222,0.168,10,J.R. Richard,Richard
Bill Voss,L,74,160,0.227,19,Bill Voss,Voss
Keith Moreland,R,72,190,0.279,121,Keith Moreland,Moreland
Ramon Pena,R,70,155,0,0,Ramon Pena,Pena
Alex Johnson,R,72,205,0.288,78,Alex Johnson,Johnson
Wayne Krenchicki,L,73,180,0.266,15,Wayne Krenchicki,Krenchicki
Chico Escarrega,R,71,185,0,0,Chico Escarrega,Escarrega
Dave Rosello,R,71,160,0.236,10,Dave Rosello,Rosello
Cardell Camper,R,75,208,0,0,Cardell Camper,Camper
Paul Schaal,R,71,165,0.244,57,Paul Schaal,Schaal
Tito Landrum,R,71,175,0.249,13,Tito Landrum,Landrum
Dave Edwards,R,72,170,0.237,14,Dave Edwards,Edwards
Mario Guerrero,R,70,155,0.257,7,Mario Guerrero,Guerrero
Tom Tresh,B,73,180,0.245,153,Tom Tresh,Tresh
Mike Overy,R,74,190,0,0,Mike Overy,Overy
Ron Roenicke,B,72,180,0.238,17,Ron Roenicke,Roenicke
Doug Griffin,R,72,160,0.245,7,Doug Griffin,Griffin
Steve Blass,R,72,165,0.172,1,Steve Blass,Blass
Johnnie LeMaster,R,74,165,0.222,22,Johnnie LeMaster,LeMaster
Craig Chamberlain,R,73,190,0,0,Craig Chamberlain,Chamberlain
Nate Oliver,R,70,160,0.226,2,Nate Oliver,Oliver
Ray Sadecki,L,71,180,0.191,5,Ray Sadecki,Sadecki
Ken Rudolph,R,73,180,0.213,6,Ken Rudolph,Rudolph
Wayne Nordhagen,R,74,205,0.282,39,Wayne Nordhagen,Nordhagen
Biff Pocoroba,B,70,175,0.257,21,Biff Pocoroba,Pocoroba
Len Matuszek,L,74,190,0.234,30,Len Matuszek,Matuszek
Frank Eufemia,R,71,185,0,0,Frank Eufemia,Eufemia
Joe Lefebvre,L,70,170,0.258,31,Joe Lefebvre,Lefebvre
Jim Maloney,L,74,190,0.201,7,Jim Maloney,Maloney
Andre Robertson,R,70,155,0.251,5,Andre Robertson,Robertson
Jerry Zimmerman,R,74,185,0.204,3,Jerry Zimmerman,Zimmerman
Jack Lazorko,R,71,200,0,0,Jack Lazorko,Lazorko
Mike Paxton,R,71,190,0,0,Mike Paxton,Paxton
Chet Lemon,R,72,190,0.273,215,Chet Lemon,Lemon
Rickey Keeton,R,74,190,0,0,Rickey Keeton,Keeton
Phil Mankowski,L,72,180,0.264,8,Phil Mankowski,Mankowski
Cleon Jones,R,72,185,0.281,93,Cleon Jones,Jones
Joaquin Andujar,B,72,170,0.127,5,Joaquin Andujar,Andujar
Mike Lum,L,72,180,0.247,90,Mike Lum,Lum
Johnny Grubb,L,75,175,0.278,99,Johnny Grubb,Grubb
Curt Motton,R,68,164,0.213,25,Curt Motton,Motton
Johnny Bench,R,73,197,0.267,389,Johnny Bench,Bench
Dale Berra,R,72,180,0.236,49,Dale Berra,Berra
Terry Felton,R,73,180,0,0,Terry Felton,Felton
Bob Meacham,B,73,175,0.236,8,Bob Meacham,Meacham
Mark Clear,R,76,200,0,0,Mark Clear,Clear
Carl Warwick,R,70,170,0.248,31,Carl Warwick,Warwick
Sam Bowens,R,73,188,0.223,45,Sam Bowens,Bowens
George Wright,B,71,180,0.245,42,George Wright,Wright
Luis Aguayo,R,69,173,0.236,37,Luis Aguayo,Aguayo
Hal Lanier,R,74,180,0.228,8,Hal Lanier,Lanier
Mike Pazik,L,74,195,0,0,Mike Pazik,Pazik
Len Randle,B,70,169,0.257,27,Len Randle,Randle
Greg Pryor,R,72,180,0.25,14,Greg Pryor,Pryor
Jim Traber,L,72,194,0.227,27,Jim Traber,Traber
Dave Nelson,R,70,160,0.244,20,Dave Nelson,Nelson
Lynn Jones,R,69,175,0.252,7,Lynn Jones,Jones
Bryan Little,B,70,160,0.245,3,Bryan Little,Little
Ken Suarez,R,69,175,0.227,5,Ken Suarez,Suarez
Rick Peters,B,69,170,0.277,2,Rick Peters,Peters
Ron Stone,L,74,185,0.241,6,Ron Stone,Stone
Rich Barnes,R,76,186,0,0,Rich Barnes,Barnes
Tommie Agee,R,71,195,0.255,130,Tommie Agee,Agee
Bob Bailey,R,73,180,0.257,189,Bob Bailey,Bailey
Cap Peterson,R,74,195,0.23,19,Cap Peterson,Peterson
Ted Uhlaender,L,74,190,0.263,36,Ted Uhlaender,Uhlaender
Ted Simmons,B,71,193,0.285,248,Ted Simmons,Simmons
Bobby Murcer,L,71,160,0.277,252,Bobby Murcer,Murcer
Dick Tracewski,R,71,160,0.213,8,Dick Tracewski,Tracewski
Dave Frost,R,78,235,0,0,Dave Frost,Frost
Mark Souza,L,72,180,0,0,Mark Souza,Souza
Bill Nahorodny,R,74,200,0.241,25,Bill Nahorodny,Nahorodny
Bill Madlock,R,71,180,0.305,163,Bill Madlock,Madlock
Bob Boone,R,74,195,0.254,105,Bob Boone,Boone
Rick Jones,L,77,190,0,0,Rick Jones,Jones
Steve Kemp,L,72,195,0.278,130,Steve Kemp,Kemp
Rick Burleson,R,70,165,0.273,50,Rick Burleson,Burleson
Jim Dorsey,R,79,190,0,0,Jim Dorsey,Dorsey
Mark Ciardi,R,72,180,0,0,Mark Ciardi,Ciardi
Dennis Burtt,R,72,180,0,0,Dennis Burtt,Burtt
Carl Taylor,R,74,200,0.266,10,Carl Taylor,Taylor
Terry Harmon,R,74,180,0.233,4,Terry Harmon,Harmon
Mike Hargrove,L,72,195,0.29,80,Mike Hargrove,Hargrove
Rich Yett,R,74,187,0,0,Rich Yett,Yett
Steve Hovley,L,70,188,0.258,8,Steve Hovley,Hovley
Don Leppert,R,74,220,0.229,15,Don Leppert,Leppert
Matt Williams,R,73,200,0,0,Matt Williams,Williams
Jim Burton,R,75,195,0,0,Jim Burton,Burton
Rick Anderson,R,74,210,0,0,Rick Anderson,Anderson
Charlie Mitchell,R,75,170,0,0,Charlie Mitchell,Mitchell
Bill Paschall,R,72,175,0,0,Bill Paschall,Paschall
John Bohnet,B,72,175,0,0,John Bohnet,Bohnet
Byron McLaughlin,R,73,175,0,0,Byron McLaughlin,McLaughlin
Lee May,R,75,195,0.267,354,Lee May,May
Luis Quintana,L,74,175,0,0,Luis Quintana,Quintana
Sam McDowell,L,77,190,0.154,2,Sam McDowell,McDowell
Rick Renick,R,72,188,0.221,20,Rick Renick,Renick
Jeff Torborg,R,72,195,0.214,8,Jeff Torborg,Torborg
Dave Campbell,R,73,180,0.213,20,Dave Campbell,Campbell
Pat Kelly,L,73,185,0.264,76,Pat Kelly,Kelly
Al Weis,B,72,160,0.219,7,Al Weis,Weis
Jerry Turner,L,69,180,0.257,45,Jerry Turner,Turner
Rick Auerbach,R,72,165,0.22,9,Rick Auerbach,Auerbach
Keith Macwhorter,R,76,190,0,0,Keith Macwhorter,Macwhorter
Don Wilson,R,74,195,0.146,1,Don Wilson,Wilson
Jaime Cocanower,R,76,200,0,0,Jaime Cocanower,Cocanower
Jeff Sellers,R,73,175,0,0,Jeff Sellers,Sellers
Sandy Valdespino,L,68,170,0.23,7,Sandy Valdespino,Valdespino
Steve Senteney,R,74,205,0,0,Steve Senteney,Senteney
Howard Bailey,R,72,195,0,0,Howard Bailey,Bailey
Jeff Bettendorf,R,75,180,0,0,Jeff Bettendorf,Bettendorf
Ken Phelps,L,73,209,0.239,123,Ken Phelps,Phelps
Cesar Cedeno,R,74,175,0.285,199,Cesar Cedeno,Cedeno
Bob Davidson,R,72,185,0,0,Bob Davidson,Davidson
Phil Linz,R,73,180,0.235,11,Phil Linz,Linz
Manny Mota,R,70,160,0.304,31,Manny Mota,Mota
Brian Snyder,L,75,185,0,0,Brian Snyder,Snyder
Steve Renko,R,77,230,0.215,6,Steve Renko,Renko
Rick Sofield,L,73,195,0.243,9,Rick Sofield,Sofield
Carlos Velazquez,R,71,180,0,0,Carlos Velazquez,Velazquez
Roger Miller,R,75,200,0,0,Roger Miller,Miller
Doug DeCinces,R,74,190,0.259,237,Doug DeCinces,DeCinces
John Castino,R,71,175,0.278,41,John Castino,Castino
Dave May,L,70,186,0.251,96,Dave May,May
Ron Washington,R,71,155,0.261,20,Ron Washington,Washington
Billy Grabarkewitz,R,70,165,0.236,28,Billy Grabarkewitz,Grabarkewitz
Willie Aikens,L,75,220,0.271,110,Willie Aikens,Aikens
Earl Williams,R,75,215,0.247,138,Earl Williams,Williams
Willie Mueller,R,76,220,0,0,Willie Mueller,Mueller
John Flinn,R,72,175,0,0,John Flinn,Flinn
